iter	Passed	Remaining
349	890	1654
350	891	1648
351	892	1643
352	893	1638
353	895	1633
354	900	1636
355	902	1632
356	904	1629
357	905	1624
358	906	1619
359	908	1614
360	909	1610
361	910	1605
362	917	1610
363	919	1606
364	920	1602
365	922	1597
366	923	1592
367	924	1588
368	926	1583
369	931	1586
370	932	1581
371	933	1576
372	935	1571
373	936	1566
374	937	1561
375	938	1556
376	939	1551
377	939	1546
378	940	1541
379	943	1539
380	947	1538
381	948	1534
382	949	1530
383	950	1525
384	951	1520
385	952	1515
386	953	1511
387	955	1506
388	955	1501
389	958	1499
390	960	1495
391	961	1491
392	963	1487
393	964	1482
394	965	1478
395	966	1473
396	967	1469
397	968	1464
398	969	1460
399	970	1455
400	971	1451
401	979	1457
402	981	1453
403	982	1449
404	983	1445
405	984	1440
406	985	1436
407	986	1431
408	991	1432
409	993	1428
410	994	1424
411	995	1420
412	996	1416
413	997	1411
414	998	1407
415	999	1403
416	1000	1398
417	1001	1394
418	1005	1393
419	1007	1391
420	1008	1387
421	1009	1382
422	1010	1378
423	1011	1374
424	1012	1370
425	1013	1365
426	1014	1361
427	1015	1357
428	1016	1353
429	1021	1353
430	1022	1349
431	1023	1345
432	1024	1341
433	1025	1337
434	1026	1333
435	1027	1329
436	1028	1325
437	1029	1321
438	1030	1317
439	1031	1313
440	1034	1311
441	1036	1308
442	1038	1305
443	1039	1301
444	1040	1297
445	1041	1293
446	1042	1289
447	1043	1286
448	1045	1282
449	1046	1278
450	1047	1274
451	1050	1274
452	1052	1270
453	1053	1267
454	1054	1263
455	1055	1259
456	1056	1255
457	1057	1251
458	1058	1247
459	1059	1243
460	1060	1240
461	1061	1236
462	1066	1236
463	1067	1233
464	1069	1229
465	1070	1226
466	1071	1223
467	1073	1219
468	1074	1216
469	1075	1212
470	1076	1208
471	1077	1205
472	1081	1204
473	1083	1201
474	1084	1198
475	1085	1194
476	1086	1191
477	1087	1187
478	1088	1183
479	1089	1180
480	1090	1176
481	1091	1173
482	1094	1172
483	1097	1169
484	1098	1166
485	1099	1162
486	1100	1159
487	1101	1155
488	1102	1152
489	1103	1148
490	1105	1145
491	1106	1142
492	1107	1139
493	1113	1140
494	1115	1137
495	1116	1134
496	1117	1130
497	1118	1127
498	1119	1124
499	1120	1120
500	1122	1117
501	1125	1116
502	1128	1115
503	1130	1112
504	1131	1108
505	1132	1105
506	1133	1102
507	1134	1098
508	1135	1095
509	1136	1091
510	1137	1088
511	1141	1088
512	1144	1086
513	1145	1083
514	1147	1080
515	1148	1077
516	1150	1074
517	1151	1071
518	1153	1068
519	1159	1070
520	1161	1067
521	1164	1066
522	1165	1063
523	1166	1060
524	1168	1056
525	1174	1058
526	1175	1055
527	1177	1052
528	1178	1049
529	1179	1046
530	1180	1043
531	1182	1040
532	1183	1036
533	1186	1035
534	1188	1032
535	1189	1029
536	1190	1026
537	1191	1023
538	1193	1020
539	1194	1017
540	1196	1014
541	1197	1011
542	1198	1008
543	1203	1008
544	1204	1005
545	1206	1002
546	1207	1000
547	1209	997
548	1211	995
549	1213	993
550	1218	992
551	1220	990
552	1222	988
553	1224	985
554	1229	985
555	1231	983
556	1232	980
557	1234	977
558	1235	974
559	1238	973
560	1248	977
561	1250	974
562	1252	972
563	1254	969
564	1260	970
565	1261	967
566	1263	964
567	1264	961
568	1265	958
569	1266	955
570	1268	952
571	1269	949
572	1270	946
573	1271	943
574	1273	940
575	1274	938
576	1275	935
577	1276	932
578	1277	929
579	1279	926
580	1280	923
581	1281	920
582	1282	917
583	1283	914
584	1284	911
585	1290	911
586	1291	908
587	1292	905
588	1293	902
589	1294	899
590	1295	896
591	1297	893
592	1297	890
593	1298	887
594	1299	884
595	1302	883
596	1304	880
597	1305	877
598	1306	874
599	1307	871
600	1308	868
601	1309	865
602	1310	862
603	1311	859
604	1312	856
605	1313	853
606	1314	851
607	1316	848
608	1318	846
609	1319	843
610	1321	841
611	1322	838
612	1323	835
613	1323	832
614	1324	829
615	1325	826
616	1327	823
617	1329	822
618	1331	819
619	1333	817
620	1334	814
621	1335	811
622	1336	808
623	1337	805
624	1340	804
625	1341	801
626	1343	799
627	1344	796
628	1345	793
629	1346	790
630	1347	788
631	1348	785
632	1349	782
633	1350	779
634	1351	777
635	1356	776
636	1358	774
637	1360	771
638	1361	768
639	1362	766
640	1363	763
641	1364	760
642	1365	757
643	1366	755
644	1369	753
645	1371	751
646	1372	748
647	1373	745
648	1374	743
649	1375	740
650	1376	737
651	1377	735
652	1378	732
653	1379	729
654	1380	726
655	1381	724
656	1385	723
657	1386	720
658	1388	718
659	1389	715
660	1390	712
661	1391	710
662	1392	707
663	1393	705
664	1394	702
665	1395	699
666	1396	697
667	1400	696
668	1402	693
669	1403	691
670	1404	688
671	1405	686
672	1407	683
673	1408	681
674	1409	678
675	1410	676
676	1411	673
677	1414	671
678	1415	669
679	1417	666
680	1418	664
681	1419	661
682	1420	659
683	1421	656
684	1422	654
685	1423	651
686	1424	649
687	1428	647
688	1430	645
689	1431	643
690	1432	640
691	1433	638
692	1434	635
693	1436	633
694	1437	630
695	1441	629
696	1443	627
697	1444	624
698	1445	622
699	1446	619
700	1447	617
701	1448	614
702	1449	612
703	1450	609
704	1451	607
705	1452	604
706	1455	603
707	1457	601
708	1458	598
709	1459	596
710	1460	593
711	1461	591
712	1462	588
713	1463	586
714	1465	583
715	1466	581
716	1467	579
717	1467	576
718	1471	575
719	1473	572
720	1474	570
721	1475	568
722	1476	565
723	1477	563
724	1478	560
725	1479	558
726	1480	556
727	1481	553
728	1482	551
729	1485	549
730	1487	547
731	1488	544
732	1489	542
733	1490	540
734	1491	537
735	1492	535
736	1493	533
737	1494	530
738	1495	528
739	1496	525
740	1497	523
741	1501	521
742	1502	519
743	1503	517
744	1505	515
745	1506	512
746	1507	510
747	1508	508
748	1509	505
749	1510	503
750	1511	501
751	1512	498
752	1517	497
753	1519	495
754	1520	493
755	1521	491
756	1522	488
757	1524	486
758	1525	484
759	1526	481
760	1527	479
761	1531	478
762	1532	475
763	1533	473
764	1534	471
765	1535	469
766	1536	466
767	1537	464
768	1538	462
769	1539	459
770	1540	457
771	1541	455
772	1542	453
773	1547	451
774	1548	449
775	1549	447
776	1550	445
777	1552	442
778	1553	440
779	1554	438
780	1554	436
781	1555	433
782	1556	431
783	1557	429
784	1563	428
785	1565	426
786	1566	423
787	1567	421
788	1568	419
789	1569	417
790	1570	415
791	1571	412
792	1572	410
793	1576	409
794	1578	406
795	1580	404
796	1581	402
797	1582	400
798	1583	398
799	1584	396
800	1585	393
801	1586	391
802	1587	389
803	1590	387
804	1595	386
805	1630	392
806	1641	392
807	1642	390
808	1644	388
809	1645	385
810	1646	383
811	1674	387
812	1677	385
813	1680	383
814	1692	384
815	1694	381
816	1695	379
817	1702	378
818	1704	376
819	1706	374
820	1716	374
821	1719	372
822	1720	370
823	1722	367
824	1723	365
825	1729	364
826	1731	362
827	1733	360
828	1735	357
829	1736	355
830	1737	353
831	1739	351
832	1742	349
833	1746	347
834	1747	345
835	1748	343
836	1749	340
837	1750	338
838	1752	336
839	1753	333
840	1754	331
841	1759	330
842	1761	327
843	1762	325
844	1763	323
845	1764	321
846	1765	318
847	1766	316
848	1767	314
849	1768	312
850	1769	309
851	1773	308
852	1775	305
853	1776	303
854	1777	301
855	1778	299
856	1779	296
857	1780	294
858	1781	292
859	1782	290
860	1783	287
861	1784	285
862	1789	284
863	1791	281
864	1792	279
865	1793	277
866	1794	275
867	1795	273
868	1796	270
869	1797	268
870	1798	266
871	1799	264
872	1803	262
873	1805	260
874	1807	258
875	1808	255
876	1809	253
877	1810	251
878	1811	249
879	1812	247
880	1813	244
881	1814	242
882	1819	241
883	1820	238
884	1822	236
885	1823	234
886	1824	232
887	1825	230
888	1826	228
889	1827	225
890	1828	223
891	1829	221
892	1830	219
893	1835	217
894	1836	215
895	1837	213
896	1838	211
897	1839	208
898	1840	206
899	1841	204
900	1842	202
901	1843	200
902	1844	198
903	1845	195
904	1848	194
905	1850	191
906	1851	189
907	1852	187
908	1853	185
909	1854	183
910	1855	181
911	1856	179
912	1857	177
913	1858	174
914	1859	172
915	1862	170
916	1866	168
917	1867	166
918	1868	164
919	1870	162
920	1871	160
921	1872	158
922	1874	156
923	1875	154
924	1880	152
925	1882	150
926	1883	148
927	1885	146
928	1886	144
929	1887	142
930	1888	139
931	1889	137
932	1890	135
933	1894	133
934	1895	131
935	1896	129
936	1897	127
937	1899	125
938	1900	123
939	1901	121
940	1902	119
941	1903	117
942	1904	115
943	1905	113
944	1909	111
945	1911	109
946	1912	107
947	1913	104
948	1915	102
949	1916	100
950	1917	98
951	1918	96
952	1919	94
953	1920	92
954	1924	90
955	1925	88
956	1927	86
957	1928	84
958	1929	82
959	1931	80
960	1932	78
961	1933	76
962	1934	74
963	1935	72
964	1938	70
965	1939	68
966	1941	66
967	1942	64
968	1943	62
969	1944	60
970	1945	58
971	1946	56
972	1947	54
973	1948	52
974	1950	50
975	1954	48
976	1956	46
977	1957	44
978	1958	42
979	1959	39
980	1960	37
981	1961	35
982	1962	33
983	1963	31
984	1964	29
985	1965	27
986	1969	25
987	1970	23
988	1971	21
989	1972	19
990	1973	17
991	1974	15
992	1975	13
993	1977	11
994	1978	9
995	1979	7
996	1980	5
997	1984	3
998	1985	1
999	1987	0
